timestamp_current;current;timestamp_give_current;give_current;timestamp_motor_chassis[0].given_current;motor_chassis[0].given_current;timestamp_motor_chassis[0].speed_rpm;motor_chassis[0].speed_rpm
1687836407258;0.040283203125;1687836407258;500;1687836407259;579;1687836407259;209
1687836407261;0.03955078125;1687836407261;500;1687836407262;721;1687836407262;188
1687836407263;0.038665771484375;1687836407263;500;1687836407264;503;1687836407264;159
1687836407265;0.04058837890625;1687836407265;500;1687836407266;460;1687836407266;146
1687836407267;0.0394287109375;1687836407267;500;1687836407268;335;1687836407268;165
1687836407269;0.03961181640625;1687836407269;500;1687836407270;507;1687836407270;171
1687836407271;0.038543701171875;1687836407271;500;1687836407272;535;1687836407272;163
1687836407273;0.040618896484375;1687836407273;500;1687836407274;482;1687836407274;140
1687836407275;0.03973388671875;1687836407275;500;1687836407276;428;1687836407276;127
1687836407277;0.03973388671875;1687836407277;500;1687836407278;490;1687836407278;138
1687836407279;0.038970947265625;1687836407279;500;1687836407280;485;1687836407280;175
1687836407281;0.039520263671875;1687836407281;500;1687836407282;515;1687836407282;215
1687836407283;0.039398193359375;1687836407283;500;1687836407283;552;1687836407283;223
1687836407284;0.039794921875;1687836407284;500;1687836407285;483;1687836407285;202
1687836407286;0.038970947265625;1687836407286;500;1687836407287;388;1687836407287;173
1687836407288;0.04180908203125;1687836407288;500;1687836407289;516;1687836407289;167
1687836407290;0.040679931640625;1687836407290;500;1687836407291;515;1687836407291;169
1687836407292;0.03936767578125;1687836407292;500;1687836407293;441;1687836407293;188
1687836407294;0.040283203125;1687836407294;500;1687836407295;595;1687836407295;196
1687836407299;0.041839599609375;1687836407299;500;1687836407300;402;1687836407300;136
1687836407306;0.041168212890625;1687836407306;500;1687836407307;418;1687836407307;213
1687836407308;0.040802001953125;1687836407308;500;1687836407309;534;1687836407309;192
1687836407310;0.039947509765625;1687836407310;500;1687836407311;469;1687836407311;169
1687836407312;0.04144287109375;1687836407312;500;1687836407313;546;1687836407313;161
1687836407314;0.04180908203125;1687836407314;500;1687836407315;454;1687836407315;175
1687836407316;0.04034423828125;1687836407316;500;1687836407317;552;1687836407317;202
1687836407318;0.040496826171875;1687836407318;500;1687836407319;471;1687836407319;207
1687836407320;0.040496826171875;1687836407320;500;1687836407321;511;1687836407321;182
1687836407322;0.04071044921875;1687836407322;500;1687836407323;454;1687836407323;152
1687836407328;0.041046142578125;1687836407328;500;1687836407329;420;1687836407329;215
1687836407330;0.041046142578125;1687836407330;500;1687836407330;432;1687836407330;221
1687836407331;0.04034423828125;1687836407331;500;1687836407332;533;1687836407332;205
1687836407333;0.039794921875;1687836407333;500;1687836407334;464;1687836407334;179
1687836407335;0.04180908203125;1687836407335;500;1687836407336;500;1687836407336;177
1687836407337;0.04156494140625;1687836407337;500;1687836407338;458;1687836407338;209
1687836407339;0.041168212890625;1687836407339;500;1687836407340;569;1687836407340;230
1687836407341;0.04095458984375;1687836407341;500;1687836407342;530;1687836407342;207
1687836407343;0.04254150390625;1687836407343;500;1687836407344;534;1687836407344;171
1687836407344;0.04254150390625;1687836407344;500;1687836407345;488;1687836407345;159
1687836407346;0.041839599609375;1687836407346;500;1687836407347;547;1687836407347;163
1687836407348;0.03997802734375;1687836407348;500;1687836407349;561;1687836407349;194
1687836407350;0.04156494140625;1687836407350;500;1687836407352;-52;1687836407352;219
1687836407353;0.04168701171875;1687836407353;500;1687836407354;608;1687836407354;196
1687836407355;0.041717529296875;1687836407355;500;1687836407356;504;1687836407356;173
1687836407357;0.041717529296875;1687836407357;500;1687836407358;519;1687836407358;186
1687836407359;0.042327880859375;1687836407359;500;1687836407360;460;1687836407360;221
1687836407360;0.040771484375;1687836407360;500;1687836407361;432;1687836407361;236
1687836407362;0.041595458984375;1687836407362;500;1687836407363;443;1687836407363;207
1687836407364;0.041259765625;1687836407364;500;1687836407366;365;1687836407366;171
1687836407367;0.041259765625;1687836407367;500;1687836407368;422;1687836407368;169
1687836407369;0.041015625;1687836407369;500;1687836407370;447;1687836407370;196
1687836407371;0.041015625;1687836407371;500;1687836407372;418;1687836407372;221
