timestamp_current;current;timestamp_give_current;give_current;timestamp_motor_chassis[0].given_current;motor_chassis[0].given_current;timestamp_motor_chassis[0].speed_rpm;motor_chassis[0].speed_rpm
1687844103165;0.053680419921875;1687844103165;-3399;1687844103166;-3438;1687844103166;202
1687844103167;0.0577392578125;1687844103167;-3376;1687844103168;-3200;1687844103168;188
1687844103169;0.06146240234375;1687844103169;-3353;1687844103170;-3279;1687844103170;154
1687844103171;0.060028076171875;1687844103171;-3330;1687844103172;-3240;1687844103172;125
1687844103173;0.061126708984375;1687844103173;-3306;1687844103174;-3311;1687844103174;117
1687844103175;0.065948486328125;1687844103175;-3283;1687844103176;-3334;1687844103176;119
1687844103177;0.065216064453125;1687844103177;-3259;1687844103178;-3299;1687844103178;125
1687844103179;0.065216064453125;1687844103179;-3235;1687844103180;-3231;1687844103180;129
1687844103181;0.067718505859375;1687844103181;-3211;1687844103182;-3138;1687844103182;123
1687844103183;0.067352294921875;1687844103183;-3187;1687844103184;-3163;1687844103184;106
1687844103185;0.067901611328125;1687844103185;-3163;1687844103186;-3175;1687844103186;87
1687844103187;0.0706787109375;1687844103187;-3138;1687844103188;-3049;1687844103188;73
1687844103189;0.071990966796875;1687844103189;-3114;1687844103190;-3084;1687844103190;62
1687844103191;0.07427978515625;1687844103191;-3089;1687844103192;-3195;1687844103192;54
1687844103193;0.07525634765625;1687844103193;-3064;1687844103194;-3001;1687844103194;52
1687844103195;0.079864501953125;1687844103195;-3039;1687844103196;-3074;1687844103196;52
1687844103197;0.07904052734375;1687844103197;-3014;1687844103197;-3036;1687844103197;50
1687844103198;0.078094482421875;1687844103198;-2989;1687844103199;-2890;1687844103199;48
1687844103200;0.076995849609375;1687844103200;-2964;1687844103201;-2855;1687844103201;43
1687844103202;0.076995849609375;1687844103202;-2939;1687844103203;-2873;1687844103203;43
1687844103204;0.076995849609375;1687844103204;-2913;1687844103204;-2874;1687844103204;39
1687844103205;0.0794677734375;1687844103205;-2913;1687844103206;-2846;1687844103206;35
1687844103207;0.078857421875;1687844103207;-2888;1687844103208;-2894;1687844103208;33
1687844103209;0.080596923828125;1687844103209;-2862;1687844103210;-2743;1687844103210;29
1687844103211;0.080810546875;1687844103211;-2836;1687844103211;-2818;1687844103211;23
1687844103212;0.08099365234375;1687844103212;-2810;1687844103213;-2813;1687844103213;16
1687844103214;0.084442138671875;1687844103214;-2784;1687844103215;-2683;1687844103215;10
1687844103216;0.084442138671875;1687844103216;-2758;1687844103217;-2692;1687844103217;4
1687844103218;0.083343505859375;1687844103218;-2732;1687844103219;-2758;1687844103219;-5
1687844103220;0.08526611328125;1687844103220;-2705;1687844103221;-2626;1687844103221;-11
1687844103222;0.084197998046875;1687844103222;-2679;1687844103223;-2642;1687844103223;-17
1687844103224;0.08721923828125;1687844103224;-2652;1687844103225;-2666;1687844103225;-24
1687844103226;0.08721923828125;1687844103226;-2626;1687844103226;-2626;1687844103226;-26
1687844103227;0.08453369140625;1687844103227;-2626;1687844103228;-2593;1687844103228;-30
1687844103229;0.08599853515625;1687844103229;-2599;1687844103230;-2590;1687844103230;-34
