timestamp_current;current;timestamp_give_current;give_current;timestamp_motor_chassis[0].given_current;motor_chassis[0].given_current;timestamp_motor_chassis[0].speed_rpm;motor_chassis[0].speed_rpm
1687856076142;0.542633056640625;1687856076142;4373;1687856076144;4323;1687856076144;883
1687856076146;0.535980224609375;1687856076146;4377;1687856076147;4179;1687856076147;887
1687856076148;0.546905517578125;1687856076148;4380;1687856076149;4201;1687856076149;864
1687856076150;0.552825927734375;1687856076150;4384;1687856076151;4141;1687856076151;904
1687856076152;0.552825927734375;1687856076152;4388;1687856076153;4489;1687856076153;876
1687856076154;0.5526123046875;1687856076154;4392;1687856076156;4465;1687856076156;941
1687856076156;0.561798095703125;1687856076156;4395;1687856076158;4311;1687856076158;899
1687856076159;0.557037353515625;1687856076159;4403;1687856076160;4344;1687856076160;860
1687856076161;0.574676513671875;1687856076161;4407;1687856076162;4231;1687856076162;939
1687856076163;0.57464599609375;1687856076163;4410;1687856076165;4483;1687856076165;952
1687856076166;0.587860107421875;1687856076166;4414;1687856076167;4292;1687856076167;964
1687856076168;0.587860107421875;1687856076168;4418;1687856076168;4272;1687856076168;947
1687856076170;0.580108642578125;1687856076170;4421;1687856076171;4294;1687856076171;1008
1687856076172;0.5882568359375;1687856076172;4425;1687856076173;4189;1687856076173;954
1687856076174;0.5882568359375;1687856076174;4429;1687856076175;4429;1687856076175;964
1687856076175;0.5882568359375;1687856076175;4432;1687856076177;4448;1687856076177;970
1687856076178;0.601348876953125;1687856076178;4436;1687856076178;4190;1687856076178;993
1687856076179;0.6048583984375;1687856076179;4440;1687856076180;4373;1687856076180;1014
1687856076182;0.618011474609375;1687856076182;4443;1687856076183;4404;1687856076183;991
1687856076184;0.62030029296875;1687856076184;4447;1687856076185;4185;1687856076185;1017
1687856076186;0.6273193359375;1687856076186;4450;1687856076187;4393;1687856076187;1037
1687856076188;0.63470458984375;1687856076188;4454;1687856076189;4331;1687856076189;1060
1687856076190;0.636993408203125;1687856076190;4458;1687856076191;4417;1687856076191;1050
1687856076192;0.64080810546875;1687856076192;4461;1687856076193;4122;1687856076193;1046
1687856076194;0.659088134765625;1687856076194;4465;1687856076195;4429;1687856076195;1073
1687856076196;0.648590087890625;1687856076196;4468;1687856076197;4214;1687856076197;1096
1687856076198;0.648590087890625;1687856076198;4472;1687856076199;4386;1687856076199;1073
1687856076200;0.659454345703125;1687856076200;4475;1687856076202;4406;1687856076202;1102
1687856076203;0.652984619140625;1687856076203;4479;1687856076204;4583;1687856076204;1132
1687856076205;0.6646728515625;1687856076205;4486;1687856076206;4369;1687856076206;1113
1687856076208;0.679931640625;1687856076208;4489;1687856076209;4500;1687856076209;1115
1687856076210;0.6844482421875;1687856076210;4493;1687856076211;4354;1687856076211;1142
1687856076212;0.6761474609375;1687856076212;4496;1687856076213;4440;1687856076213;1153
1687856076214;0.69329833984375;1687856076214;4499;1687856076215;4131;1687856076215;1102
1687856076216;0.678497314453125;1687856076216;4503;1687856076217;4420;1687856076217;1167
1687856076218;0.71234130859375;1687856076218;4506;1687856076219;4598;1687856076219;1176
1687856076220;0.71234130859375;1687856076220;4510;1687856076221;4265;1687856076221;1180
1687856076222;0.689849853515625;1687856076222;4513;1687856076223;4468;1687856076223;1176
1687856076224;0.71429443359375;1687856076224;4516;1687856076226;4418;1687856076226;1186
1687856076227;0.71392822265625;1687856076227;4520;1687856076228;4279;1687856076228;1184
1687856076229;0.703582763671875;1687856076229;4523;1687856076230;4535;1687856076230;1209
1687856076230;0.734588623046875;1687856076230;4526;1687856076232;4556;1687856076232;1249
1687856076233;0.719482421875;1687856076233;4530;1687856076234;4293;1687856076234;1255
1687856076234;0.7410888671875;1687856076234;4533;1687856076235;4380;1687856076235;1215
1687856076236;0.737640380859375;1687856076236;4536;1687856076237;4786;1687856076237;1213
1687856076238;0.7532958984375;1687856076238;4540;1687856076239;4644;1687856076239;1247
1687856076240;0.740753173828125;1687856076240;4543;1687856076241;4287;1687856076241;1272
1687856076242;0.740753173828125;1687856076242;4546;1687856076243;4302;1687856076243;1263
1687856076244;0.76544189453125;1687856076244;4550;1687856076245;4554;1687856076245;1318
