timestamp_current;current;timestamp_give_current;give_current;timestamp_motor_chassis[0].given_current;motor_chassis[0].given_current;timestamp_motor_chassis[0].speed_rpm;motor_chassis[0].speed_rpm
1687851621703;0.030426025390625;1687851621703;617;1687851621705;119;1687851621705;-277
1687851621707;0.028961181640625;1687851621707;742;1687851621708;277;1687851621708;-321
1687851621709;0.025909423828125;1687851621709;866;1687851621710;421;1687851621710;-260
1687851621711;0.025909423828125;1687851621711;1112;1687851621712;579;1687851621712;-210
1687851621714;0.022491455078125;1687851621714;1234;1687851621715;860;1687851621715;-252
1687851621716;0.020050048828125;1687851621716;1356;1687851621717;1117;1687851621717;-281
1687851621718;0.012939453125;1687851621718;1476;1687851621719;1271;1687851621719;-258
1687851621720;0.011810302734375;1687851621720;1596;1687851621722;1218;1687851621722;-289
1687851621723;0.010650634765625;1687851621723;1714;1687851621724;1395;1687851621724;-306
1687851621725;0.011260986328125;1687851621725;1832;1687851621726;1558;1687851621726;-237
1687851621728;0.01202392578125;1687851621728;2063;1687851621729;1947;1687851621729;-206
1687851621730;0.0091552734375;1687851621730;2177;1687851621731;2048;1687851621731;-233
1687851621732;0.012420654296875;1687851621732;2289;1687851621733;2087;1687851621733;-258
1687851621734;0.012420654296875;1687851621734;2400;1687851621735;2302;1687851621735;-235
1687851621736;0.014129638671875;1687851621736;2510;1687851621737;2302;1687851621737;-224
1687851621738;0.017486572265625;1687851621738;2618;1687851621739;2435;1687851621739;-256
1687851621740;0.01715087890625;1687851621740;2724;1687851621741;2606;1687851621741;-266
1687851621742;0.0225830078125;1687851621742;2828;1687851621743;2675;1687851621743;-220
1687851621745;0.02471923828125;1687851621745;2931;1687851621746;2754;1687851621746;-170
1687851621747;0.025634765625;1687851621747;3032;1687851621748;2957;1687851621748;-172
1687851621749;0.029937744140625;1687851621749;3131;1687851621750;3016;1687851621750;-183
1687851621751;0.035919189453125;1687851621751;3228;1687851621752;3054;1687851621752;-203
1687851621753;0.04052734375;1687851621753;3323;1687851621754;3132;1687851621754;-193
1687851621755;0.04052734375;1687851621755;3415;1687851621756;3310;1687851621756;-172
1687851621757;0.04254150390625;1687851621757;3506;1687851621758;3378;1687851621758;-164
1687851621759;0.051025390625;1687851621759;3595;1687851621760;3462;1687851621760;-178
1687851621761;0.057037353515625;1687851621761;3681;1687851621762;3493;1687851621762;-193
1687851621763;0.058563232421875;1687851621763;3846;1687851621765;3815;1687851621765;-180
1687851621767;0.07452392578125;1687851621767;3925;1687851621768;3743;1687851621768;-130
1687851621769;0.079620361328125;1687851621769;4002;1687851621770;3812;1687851621770;-111
1687851621771;0.0836181640625;1687851621771;4076;1687851621772;3966;1687851621772;-101
1687851621773;0.09161376953125;1687851621773;4147;1687851621774;4122;1687851621774;-99
1687851621775;0.09814453125;1687851621775;4216;1687851621776;4159;1687851621776;-103
1687851621777;0.108795166015625;1687851621777;4282;1687851621778;4262;1687851621778;-99
1687851621779;0.108795166015625;1687851621779;4346;1687851621780;4254;1687851621780;-95
1687851621781;0.117889404296875;1687851621781;4407;1687851621782;4322;1687851621782;-86
1687851621783;0.12225341796875;1687851621783;4464;1687851621784;4323;1687851621784;-76
1687851621785;0.129608154296875;1687851621785;4572;1687851621787;4269;1687851621787;-63
1687851621788;0.130157470703125;1687851621788;4621;1687851621789;4438;1687851621789;-53
1687851621790;0.137481689453125;1687851621790;4668;1687851621791;4505;1687851621791;-42
1687851621792;0.145721435546875;1687851621792;4711;1687851621793;4576;1687851621793;-30
1687851621794;0.15960693359375;1687851621794;4752;1687851621795;4581;1687851621795;-21
1687851621796;0.163726806640625;1687851621796;4789;1687851621797;4639;1687851621797;-15
1687851621797;0.174041748046875;1687851621797;4824;1687851621798;4639;1687851621798;-7
1687851621799;0.181427001953125;1687851621799;4824;1687851621800;4698;1687851621800;4
1687851621801;0.181427001953125;1687851621801;4855;1687851621802;4696;1687851621802;12
1687851621803;0.190155029296875;1687851621803;4884;1687851621804;4767;1687851621804;23
1687851621805;0.1988525390625;1687851621805;4909;1687851621806;4786;1687851621806;31
1687851621807;0.20294189453125;1687851621807;4931;1687851621809;4884;1687851621809;41
1687851621810;0.214019775390625;1687851621810;4966;1687851621811;4903;1687851621811;50
1687851621812;0.21612548828125;1687851621812;4979;1687851621813;4940;1687851621813;64
1687851621814;0.231964111328125;1687851621814;4989;1687851621815;5036;1687851621815;77
1687851621816;0.244232177734375;1687851621816;4996;1687851621817;4795;1687851621817;89
1687851621818;0.241485595703125;1687851621818;4999;1687851621819;4784;1687851621819;98
1687851621821;0.248046875;1687851621821;4999;1687851621822;4824;1687851621822;102
1687851621822;0.248046875;1687851621822;4996;1687851621823;4818;1687851621823;104
1687851621824;0.253265380859375;1687851621824;4990;1687851621825;4912;1687851621825;104
1687851621826;0.25946044921875;1687851621826;4981;1687851621827;4997;1687851621827;110
1687851621828;0.272186279296875;1687851621828;4969;1687851621829;4924;1687851621829;127
1687851621830;0.272186279296875;1687851621830;4953;1687851621831;4807;1687851621831;161
1687851621832;0.270233154296875;1687851621832;4934;1687851621834;4876;1687851621834;202
1687851621834;0.27252197265625;1687851621834;4913;1687851621835;4845;1687851621835;209
1687851621837;0.289947509765625;1687851621837;4888;1687851621838;4806;1687851621838;190
1687851621839;0.278961181640625;1687851621839;4860;1687851621839;4730;1687851621839;179
1687851621840;0.28546142578125;1687851621840;4829;1687851621841;4873;1687851621841;184
1687851621842;0.29168701171875;1687851621842;4795;1687851621843;4730;1687851621843;217
1687851621844;0.29168701171875;1687851621844;4758;1687851621846;4601;1687851621846;221
1687851621847;0.291412353515625;1687851621847;4718;1687851621848;4827;1687851621848;200
1687851621849;0.2935791015625;1687851621849;4675;1687851621850;4465;1687851621850;200
1687851621851;0.302398681640625;1687851621851;4629;1687851621852;4535;1687851621852;265
1687851621853;0.2994384765625;1687851621853;4528;1687851621854;4534;1687851621854;303
1687851621856;0.2891845703125;1687851621856;4473;1687851621857;4508;1687851621857;280
1687851621858;0.302947998046875;1687851621858;4416;1687851621859;4516;1687851621859;278
1687851621860;0.2904052734375;1687851621860;4355;1687851621861;4138;1687851621861;303
1687851621863;0.2847900390625;1687851621863;4292;1687851621864;4355;1687851621864;278
1687851621865;0.29351806640625;1687851621865;4226;1687851621865;4114;1687851621865;263
1687851621866;0.28692626953125;1687851621866;4158;1687851621867;4175;1687851621867;339
1687851621868;0.28692626953125;1687851621868;4087;1687851621869;4020;1687851621869;382
1687851621870;0.28692626953125;1687851621870;4013;1687851621871;3994;1687851621871;339
1687851621872;0.287750244140625;1687851621872;3937;1687851621873;3799;1687851621873;324
1687851621874;0.27813720703125;1687851621874;3858;1687851621875;3840;1687851621875;341
1687851621876;0.276763916015625;1687851621876;3777;1687851621877;3822;1687851621877;292
1687851621878;0.27301025390625;1687851621878;3694;1687851621879;3676;1687851621879;332
1687851621880;0.2720947265625;1687851621880;3608;1687851621881;3593;1687851621881;408
1687851621882;0.266632080078125;1687851621882;3520;1687851621883;3627;1687851621883;389
1687851621884;0.258209228515625;1687851621884;3429;1687851621885;3418;1687851621885;385
1687851621887;0.24932861328125;1687851621887;3337;1687851621888;3395;1687851621888;370
1687851621888;0.25128173828125;1687851621888;3242;1687851621889;3222;1687851621889;357
1687851621890;0.25128173828125;1687851621890;3146;1687851621891;3115;1687851621891;418
1687851621893;0.2371826171875;1687851621893;3047;1687851621893;3140;1687851621893;435
1687851621894;0.228729248046875;1687851621894;2946;1687851621895;2910;1687851621895;401
1687851621896;0.228729248046875;1687851621896;2844;1687851621897;2859;1687851621897;435
1687851621898;0.2132568359375;1687851621898;2740;1687851621899;2651;1687851621899;405
1687851621900;0.2132568359375;1687851621900;2634;1687851621901;2690;1687851621901;408
1687851621902;0.218963623046875;1687851621902;2526;1687851621903;2515;1687851621903;410
1687851621904;0.20574951171875;1687851621904;2417;1687851621905;2545;1687851621905;399
