timestamp_current;current;timestamp_give_current;give_current;timestamp_motor_chassis[0].given_current;motor_chassis[0].given_current;timestamp_motor_chassis[0].speed_rpm;motor_chassis[0].speed_rpm
1687851747124;-0.18133544921875;1687851747124;-4507;1687851747126;-4329;1687851747126;845
1687851747127;-0.182403564453125;1687851747127;-4504;1687851747129;-4418;1687851747129;849
1687851747130;-0.165863037109375;1687851747130;-4500;1687851747131;-4353;1687851747131;809
1687851747132;-0.172607421875;1687851747132;-4497;1687851747133;-4308;1687851747133;824
1687851747134;-0.170166015625;1687851747134;-4493;1687851747135;-4331;1687851747135;820
1687851747136;-0.1563720703125;1687851747136;-4490;1687851747137;-4415;1687851747137;837
1687851747138;-0.157470703125;1687851747138;-4486;1687851747139;-4423;1687851747139;849
1687851747141;-0.1533203125;1687851747141;-4479;1687851747142;-4318;1687851747142;719
1687851747143;-0.151702880859375;1687851747143;-4476;1687851747144;-4253;1687851747144;755
1687851747145;-0.151702880859375;1687851747145;-4472;1687851747146;-4314;1687851747146;761
1687851747148;-0.13946533203125;1687851747148;-4469;1687851747149;-4330;1687851747149;774
1687851747150;-0.13519287109375;1687851747150;-4465;1687851747151;-4194;1687851747151;782
1687851747152;-0.13751220703125;1687851747152;-4462;1687851747153;-4273;1687851747153;728
1687851747154;-0.126312255859375;1687851747154;-4458;1687851747155;-4468;1687851747155;650
1687851747156;-0.127532958984375;1687851747156;-4455;1687851747157;-4319;1687851747157;755
1687851747158;-0.12152099609375;1687851747158;-4451;1687851747159;-4321;1687851747159;761
1687851747160;-0.11053466796875;1687851747160;-4448;1687851747161;-4313;1687851747161;638
1687851747162;-0.111297607421875;1687851747162;-4444;1687851747163;-4309;1687851747163;721
1687851747164;-0.1055908203125;1687851747164;-4440;1687851747165;-4288;1687851747165;719
1687851747166;-0.1055908203125;1687851747166;-4437;1687851747167;-4308;1687851747167;596
1687851747168;-0.102142333984375;1687851747168;-4433;1687851747169;-4223;1687851747169;680
1687851747171;-0.1024169921875;1687851747171;-4426;1687851747171;-4282;1687851747171;711
1687851747172;-0.1021728515625;1687851747172;-4422;1687851747173;-4321;1687851747173;588
1687851747174;-0.0909423828125;1687851747174;-4419;1687851747175;-4262;1687851747175;627
1687851747176;-0.09527587890625;1687851747176;-4415;1687851747177;-4406;1687851747177;621
1687851747178;-0.08843994140625;1687851747178;-4415;1687851747179;-4399;1687851747179;640
1687851747180;-0.08526611328125;1687851747180;-4407;1687851747181;-4264;1687851747181;608
1687851747183;-0.08062744140625;1687851747183;-4404;1687851747184;-4211;1687851747184;621
1687851747185;-0.07769775390625;1687851747185;-4400;1687851747186;-4242;1687851747186;590
1687851747187;-0.07342529296875;1687851747187;-4396;1687851747188;-4119;1687851747188;575
1687851747190;-0.0673828125;1687851747190;-4393;1687851747191;-4249;1687851747191;550
1687851747192;-0.068511962890625;1687851747192;-4389;1687851747193;-4126;1687851747193;565
1687851747194;-0.061370849609375;1687851747194;-4385;1687851747195;-4307;1687851747195;546
1687851747196;-0.062408447265625;1687851747196;-4381;1687851747197;-4342;1687851747197;529
1687851747198;-0.05780029296875;1687851747198;-4377;1687851747199;-4362;1687851747199;518
1687851747200;-0.056915283203125;1687851747200;-4374;1687851747201;-4207;1687851747201;531
1687851747202;-0.048828125;1687851747202;-4370;1687851747203;-4201;1687851747203;550
1687851747204;-0.044830322265625;1687851747204;-4362;1687851747205;-4421;1687851747205;510
1687851747206;-0.04388427734375;1687851747206;-4358;1687851747207;-4405;1687851747207;466
1687851747208;-0.039093017578125;1687851747208;-4355;1687851747210;-4125;1687851747210;460
1687851747211;-0.039093017578125;1687851747211;-4351;1687851747211;-4157;1687851747211;506
1687851747213;-0.028350830078125;1687851747213;-4347;1687851747214;-4318;1687851747214;464
1687851747215;-0.028350830078125;1687851747215;-4343;1687851747216;-4159;1687851747216;422
1687851747217;-0.028228759765625;1687851747217;-4339;1687851747218;-4286;1687851747218;426
1687851747219;-0.026458740234375;1687851747219;-4335;1687851747220;-4261;1687851747220;481
1687851747221;-0.022705078125;1687851747221;-4331;1687851747222;-4157;1687851747222;431
1687851747223;-0.01690673828125;1687851747223;-4327;1687851747223;-4324;1687851747223;424
1687851747225;-0.0130615234375;1687851747225;-4323;1687851747226;-4138;1687851747226;347
1687851747227;-0.00830078125;1687851747227;-4319;1687851747227;-4298;1687851747227;355
1687851747228;-0.007659912109375;1687851747228;-4315;1687851747229;-4191;1687851747229;437
1687851747230;-0.004058837890625;1687851747230;-4311;1687851747232;-4196;1687851747232;387
1687851747233;0.002410888671875;1687851747233;-4307;1687851747234;-4270;1687851747234;393
1687851747235;0.006195068359375;1687851747235;-4303;1687851747236;-4117;1687851747236;311
1687851747237;0.008331298828125;1687851747237;-4299;1687851747238;-4280;1687851747238;359
1687851747239;0.010406494140625;1687851747239;-4295;1687851747240;-4195;1687851747240;412
1687851747241;0.014190673828125;1687851747241;-4291;1687851747242;-4236;1687851747242;351
1687851747243;0.017974853515625;1687851747243;-4287;1687851747244;-4207;1687851747244;330
1687851747245;0.0223388671875;1687851747245;-4283;1687851747246;-4187;1687851747246;322
1687851747247;0.02587890625;1687851747247;-4279;1687851747248;-4380;1687851747248;286
1687851747249;0.02947998046875;1687851747249;-4275;1687851747250;-4167;1687851747250;249
1687851747251;0.03173828125;1687851747251;-4271;1687851747252;-4222;1687851747252;286
1687851747253;0.03173828125;1687851747253;-4267;1687851747254;-4142;1687851747254;339
1687851747255;0.033966064453125;1687851747255;-4263;1687851747256;-4305;1687851747256;280
1687851747257;0.03900146484375;1687851747257;-4259;1687851747258;-4155;1687851747258;269
1687851747259;0.0450439453125;1687851747259;-4255;1687851747260;-4054;1687851747260;290
1687851747261;0.04888916015625;1687851747261;-4251;1687851747262;-4221;1687851747262;253
1687851747263;0.052947998046875;1687851747263;-4246;1687851747264;-4191;1687851747264;198
1687851747265;0.054779052734375;1687851747265;-4242;1687851747266;-4054;1687851747266;209
1687851747267;0.05682373046875;1687851747267;-4238;1687851747268;-4173;1687851747268;253
1687851747269;0.059112548828125;1687851747269;-4234;1687851747270;-4101;1687851747270;265
1687851747271;0.068450927734375;1687851747271;-4230;1687851747272;-4094;1687851747272;219
1687851747273;0.0662841796875;1687851747273;-4226;1687851747274;-4065;1687851747274;182
1687851747275;0.071136474609375;1687851747275;-4221;1687851747276;-4237;1687851747276;186
